2026-02-08 07:08:15.791 | ERROR    | src.platforms.polymarket:start_listening:271 - WebSocket error: proxy rejected connection: HTTP 403
2026-02-08 07:08:20.796 | ERROR    | src.platforms.polymarket:connect:222 - Failed to connect to Polymarket WebSocket: proxy rejected connection: HTTP 403
2026-02-08 07:08:20.796 | ERROR    | src.platforms.polymarket:start_listening:271 - WebSocket error: proxy rejected connection: HTTP 403
2026-02-08 07:08:25.802 | ERROR    | src.platforms.polymarket:connect:222 - Failed to connect to Polymarket WebSocket: proxy rejected connection: HTTP 403
2026-02-08 07:08:25.803 | ERROR    | src.platforms.polymarket:start_listening:271 - WebSocket error: proxy rejected connection: HTTP 403
2026-02-08 07:08:30.809 | ERROR    | src.platforms.polymarket:connect:222 - Failed to connect to Polymarket WebSocket: proxy rejected connection: HTTP 403
2026-02-08 07:08:30.810 | ERROR    | src.platforms.polymarket:start_listening:271 - WebSocket error: proxy rejected connection: HTTP 403
2026-02-08 07:08:35.815 | ERROR    | src.platforms.polymarket:connect:222 - Failed to connect to Polymarket WebSocket: proxy rejected connection: HTTP 403
2026-02-08 07:08:35.815 | ERROR    | src.platforms.polymarket:start_listening:271 - WebSocket error: proxy rejected connection: HTTP 403
2026-02-08 07:08:40.821 | ERROR    | src.platforms.polymarket:connect:222 - Failed to connect to Polymarket WebSocket: proxy rejected connection: HTTP 403
2026-02-08 07:08:40.821 | ERROR    | src.platforms.polymarket:start_listening:271 - WebSocket error: proxy rejected connection: HTTP 403
2026-02-08 07:08:45.827 | ERROR    | src.platforms.polymarket:connect:222 - Failed to connect to Polymarket WebSocket: proxy rejected connection: HTTP 403
2026-02-08 07:08:45.828 | ERROR    | src.platforms.polymarket:start_listening:271 - WebSocket error: proxy rejected connection: HTTP 403
2026-02-08 07:08:50.835 | ERROR    | src.platforms.polymarket:connect:222 - Failed to connect to Polymarket WebSocket: proxy rejected connection: HTTP 403
2026-02-08 07:08:50.836 | ERROR    | src.platforms.polymarket:start_listening:271 - WebSocket error: proxy rejected connection: HTTP 403
2026-02-08 07:08:55.842 | ERROR    | src.platforms.polymarket:connect:222 - Failed to connect to Polymarket WebSocket: proxy rejected connection: HTTP 403
2026-02-08 07:08:55.842 | ERROR    | src.platforms.polymarket:start_listening:271 - WebSocket error: proxy rejected connection: HTTP 403
2026-02-08 07:09:00.848 | ERROR    | src.platforms.polymarket:connect:222 - Failed to connect to Polymarket WebSocket: proxy rejected connection: HTTP 403
2026-02-08 07:09:00.849 | ERROR    | src.platforms.polymarket:start_listening:271 - WebSocket error: proxy rejected connection: HTTP 403
2026-02-08 07:09:05.856 | ERROR    | src.platforms.polymarket:connect:222 - Failed to connect to Polymarket WebSocket: proxy rejected connection: HTTP 403
2026-02-08 07:09:05.856 | ERROR    | src.platforms.polymarket:start_listening:271 - WebSocket error: proxy rejected connection: HTTP 403
2026-02-08 07:09:10.862 | ERROR    | src.platforms.polymarket:connect:222 - Failed to connect to Polymarket WebSocket: proxy rejected connection: HTTP 403
2026-02-08 07:09:10.862 | ERROR    | src.platforms.polymarket:start_listening:271 - WebSocket error: proxy rejected connection: HTTP 403
2026-02-08 07:09:15.868 | ERROR    | src.platforms.polymarket:connect:222 - Failed to connect to Polymarket WebSocket: proxy rejected connection: HTTP 403
2026-02-08 07:09:15.868 | ERROR    | src.platforms.polymarket:start_listening:271 - WebSocket error: proxy rejected connection: HTTP 403
2026-02-08 07:09:20.874 | ERROR    | src.platforms.polymarket:connect:222 - Failed to connect to Polymarket WebSocket: proxy rejected connection: HTTP 403
2026-02-08 07:09:20.875 | ERROR    | src.platforms.polymarket:start_listening:271 - WebSocket error: proxy rejected connection: HTTP 403
2026-02-08 07:09:25.879 | ERROR    | src.platforms.polymarket:connect:222 - Failed to connect to Polymarket WebSocket: proxy rejected connection: HTTP 403
2026-02-08 07:09:25.880 | ERROR    | src.platforms.polymarket:start_listening:271 - WebSocket error: proxy rejected connection: HTTP 403
